Study_Hours,Attendance,Previous_Score,Assignment_Score,Sleep_Hours,Participation,Backlogs,Performance
6.1,72.9,74.7,91.3,6.2,5,0,Excellent
7.2,66.3,57.1,62.0,5.3,1,0,Average
2.8,79.7,51.4,50.2,8.4,5,0,Average
5.9,76.8,57.3,61.6,7.7,6,0,Good
5.0,59.1,77.3,52.9,6.8,2,0,Average
6.9,59.9,41.3,80.8,5.8,3,0,Average
5.7,69.2,54.8,78.6,7.8,7,1,Good
3.6,52.4,81.5,67.5,6.0,8,1,Average
4.8,90.1,70.4,61.0,7.0,9,1,Excellent
3.0,69.0,64.1,50.1,7.9,7,0,Average
8.3,67.2,52.9,63.0,7.7,6,2,Good
5.4,70.4,75.1,66.4,6.0,8,2,Average
5.0,71.5,43.8,64.1,6.1,4,3,Poor
0.6,60.9,86.1,69.7,4.3,3,0,Poor
5.1,100.0,62.1,74.2,6.5,3,4,Poor
2.5,63.4,76.6,58.8,8.3,8,0,Average
2.8,66.5,66.5,63.0,4.5,6,1,Poor
3.0,84.3,62.6,64.6,5.3,5,1,Average
5.5,94.6,40.9,72.6,6.8,7,0,Good
3.1,84.3,83.3,73.2,7.6,6,1,Good
2.4,84.8,50.4,81.0,8.0,4,1,Average
7.1,62.0,67.2,50.8,5.5,7,1,Average
5.0,96.8,61.0,100.0,7.3,4,0,Excellent
4.7,73.1,76.1,63.7,7.5,8,0,Good
5.5,56.3,67.6,75.4,5.4,6,1,Average
5.1,88.1,81.0,56.6,8.3,7,2,Average
6.1,100.0,73.6,85.9,7.7,7,2,Good
1.7,77.5,52.2,69.4,5.8,2,1,Poor
4.0,,66.0,54.9,5.6,7,1,Good
9.1,95.5,77.4,70.2,7.1,8,0,Excellent
3.3,73.3,72.6,82.1,4.9,5,0,Average
1.5,89.2,84.0,75.3,8.6,3,0,Good
7.8,64.4,71.7,80.8,5.3,5,0,Good
4.8,,45.5,91.6,8.2,5,1,Average
7.6,75.2,50.3,76.5,6.8,4,0,Good
5.3,46.5,84.2,61.4,9.2,7,0,Good
5.6,65.7,61.9,63.1,5.7,7,0,Good
8.2,80.4,73.7,61.2,7.6,7,2,Good
5.0,76.8,84.2,61.7,7.2,5,2,Average
4.0,68.9,68.9,70.2,7.7,4,2,Average
5.7,73.0,66.5,78.3,5.4,10,0,Excellent
2.4,86.6,75.0,60.2,6.5,1,2,Poor
3.2,70.2,71.2,62.1,5.4,6,0,Average
5.4,83.4,78.1,86.2,5.9,4,0,Excellent
5.7,97.1,77.9,67.8,6.5,3,0,Good
4.9,94.1,76.6,76.9,6.6,3,2,Average
5.5,75.2,66.5,59.2,6.5,6,1,Average
9.1,93.0,92.2,68.4,7.8,3,0,Excellent
0.3,67.1,53.6,72.1,6.9,9,0,Average
7.1,86.1,87.1,79.8,6.3,5,2,Good
1.2,95.3,63.3,87.3,4.4,4,0,Average
5.7,97.7,69.7,65.6,4.4,3,1,Good
1.6,94.2,70.0,59.5,8.5,6,0,Average
7.5,90.4,67.5,55.7,6.2,8,0,Excellent
7.3,48.6,47.3,41.5,6.1,7,0,Average
7.9,89.7,70.0,69.8,7.5,5,4,Average
0.5,73.7,45.4,79.4,7.0,4,0,Poor
4.4,100.0,60.2,63.7,5.9,4,0,Good
4.8,59.5,56.7,53.2,9.1,6,0,Average
7.7,87.8,55.7,59.7,7.3,4,0,Good
1.7,95.5,89.7,66.5,7.2,6,0,Good
5.2,97.9,28.1,58.7,5.3,5,0,Average
3.6,58.8,90.3,82.3,6.5,8,0,Good
7.2,68.4,88.7,64.6,5.6,8,1,Good
1.9,83.4,55.2,63.2,5.7,4,0,Poor
6.5,80.9,63.7,73.3,6.9,4,1,Good
5.2,86.3,40.0,77.6,5.6,7,0,Good
0.0,68.1,60.4,48.7,7.5,3,0,Poor
3.6,75.7,52.1,64.6,7.8,4,0,Average
6.7,64.1,100.0,45.2,5.2,6,0,Good
5.2,72.7,82.5,73.6,6.9,5,0,Good
4.3,83.2,80.5,39.1,7.0,5,2,Average
0.5,59.9,36.9,65.1,6.5,9,0,Poor
6.8,88.4,66.4,57.6,6.9,6,0,Excellent
5.7,68.8,74.5,100.0,6.7,6,0,Excellent
3.2,97.6,71.0,65.1,7.6,8,0,Good
6.7,61.2,78.0,89.0,7.0,9,0,Excellent
3.9,77.6,77.5,57.5,3.5,6,1,Average
5.2,85.9,72.2,73.1,5.5,6,1,Good
9.2,77.8,66.5,68.7,7.5,10,0,Excellent
4.7,68.6,49.8,46.8,7.6,6,0,Average
3.2,52.5,61.1,54.2,6.3,5,0,Poor
4.5,85.4,92.7,85.8,6.2,3,0,Good
5.3,64.8,67.2,59.0,7.4,5,0,Good
4.9,66.8,54.3,71.5,6.2,9,0,Good
2.3,57.3,68.1,74.1,6.2,5,0,Average
2.6,100.0,79.0,87.8,7.4,3,0,Good
4.7,82.5,49.2,65.1,6.2,7,2,Average
4.2,92.4,48.8,78.6,7.3,5,0,Good
8.9,56.4,52.8,88.4,4.2,7,0,Good
0.4,100.0,68.2,68.6,5.8,6,2,Poor
4.9,70.0,85.2,100.0,7.4,4,2,Good
5.0,80.2,56.9,59.1,6.8,4,0,Good
6.6,68.0,72.9,92.7,8.5,3,2,Average
1.0,55.8,55.6,70.4,7.2,4,0,Poor
6.3,52.1,53.0,88.8,5.4,7,0,Good
6.1,77.8,52.1,79.8,5.8,6,0,Good
7.2,69.7,68.6,72.5,6.1,9,0,Excellent
6.6,66.6,74.5,83.6,7.3,2,0,Good
4.5,91.0,66.8,81.4,7.3,8,2,Good
4.8,50.1,71.4,72.9,6.9,3,2,Poor
4.5,91.9,63.8,63.5,7.7,3,0,Good
5.5,67.8,83.8,57.5,6.3,5,0,Good
7.3,88.0,69.2,51.1,7.3,7,1,Good
